name,speed,deg,Lon,Lat,id
Quincy,6.7,230.0,-71.0,42.25,4948247
South Boston,6.7,230.0,-71.05,42.33,4951305
Boston,6.7,230.0,-71.06,42.36,4930956
Jamaica Plain,6.7,230.0,-71.12,42.31,4940764
Cambridge,6.7,230.0,-71.11,42.38,4931972
Newton,6.7,230.0,-71.21,42.34,4945283
Brockton,6.7,230.0,-71.02,42.08,4931429
Hanover,5.1,210.0,-70.81,42.11,4938836
Peabody,3.6,210.0,-70.93,42.53,4946863
Framingham,4.1,230.0,-71.42,42.28,4937230
Ashland,4.1,230.0,-71.46,42.26,4929283
Tewksbury,3.1,220.0,-71.23,42.61,4952762
Gloucester,3.6,210.0,-70.66,42.62,4937829
Taunton,4.6,220.0,-71.09,41.9,4952629
Marlborough,5.7,240.0,-71.55,42.35,4943170
Lowell,3.1,220.0,-71.32,42.63,4942618
Attleboro,2.1,240.0,-71.29,41.94,4929399
Milford,4.1,230.0,-71.52,42.14,4943958
Lawrence,3.1,220.0,-71.16,42.71,4941720
Woonsocket,2.1,240.0,-71.51,42.0,5225809
Somerset,4.6,220.0,-71.13,41.77,4951248
Amesbury,3.1,220.0,-70.93,42.86,4929004
Providence,2.1,240.0,-71.41,41.82,5224151
Nashua,2.6,210.0,-71.47,42.77,5090046
Worcester,5.7,240.0,-71.8,42.26,4956184
Leominster,5.7,240.0,-71.76,42.53,4941873
Fall River,4.6,220.0,-71.16,41.7,4936159
Derry Village,2.6,210.0,-71.31,42.89,5085382
New Bedford,4.6,220.0,-70.93,41.64,4945121
Warwick,4.6,220.0,-71.42,41.7,5225507
Manchester,2.6,210.0,-71.45,43.0,5089178
Gardner,3.1,190.0,-72.0,42.58,4937557
Portsmouth,3.6,220.0,-70.76,43.07,5091383
Killingly Center,2.1,240.0,-71.87,41.84,4837278
Barnstable,3.6,220.0,-70.3,41.7,4929771
Yarmouth,3.6,220.0,-70.23,41.71,4956335
North Kingstown,4.6,220.0,-71.47,41.55,5223672
Dover,3.6,220.0,-70.87,43.2,5085520
Plainfield,5.7,240.0,-71.92,41.68,4840755
Concord,2.1,150.0,-71.54,43.21,5084868
East Concord,2.1,150.0,-71.54,43.24,5085688
Westerly,4.6,210.0,-71.83,41.38,5225631
